"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1140",1,2.772,1.742,0.4751,0.4643,1.847,0.4643
"1141",1,2.776,1.603,0.2666,0.4332,2.608,0.4332
"1142",1,2.779,1.7,26.59,0.4714,18.34,0.4714
"1143",1,2.776,1.843,1.131,0.4916,15.4,0.4916
"1144",1,2.772,1.787,1.302,0.3481,2.442,0.3481
"1145",1,2.777,2.131,1.356,0.499,2.554,0.499
"1146",1,2.772,2.161,2.507,0.4538,1.702,0.4538
"1147",1,2.777,1.785,2.349,0.427,5.557,0.427
"1148",1,2.774,1.768,2.237,0.4618,9.381,0.4618
"1149",1,2.768,1.926,2.484,0.4083,0.06011,0.4083
"1150",1,2.77,1.903,2.078,0.4837,0.442,0.4837
"1151",1,2.789,1.787,2.174,0.4815,0.04431,0.4815
"1152",1,2.777,2.198,2.256,0.4995,0.2236,0.4995
"1153",1,2.796,1.818,2.348,0.5036,0.3051,0.5036
"1154",1,2.805,1.974,2.19,0.6617,0.6957,0.6617
"1155",1,2.776,1.501,2.304,0.5867,1.327,0.5867
"1156",1,2.779,1.499,2.787,0.7687,1.048,0.7687
"1157",1,2.768,1.445,2.161,0.6467,26.86,0.6467
"1158",1,2.774,1.635,2.3,0.6284,0.322,0.6284
"1159",1,2.775,1.381,2.756,0.5069,0.5247,0.5069
"1160",1,2.782,1.085,2.088,1.149,1.292,1.149
"1161",1,2.786,1.149,2.058,0.8575,0.7791,0.8575
"1162",1,2.8,1.664,2.053,0.4998,1.316,0.4998
"1163",1,2.789,0.8701,1.418,0.7231,1.652,0.7231
"1164",1,2.776,1.102,1.813,0.6159,2.742,0.6159
"1165",1,2.779,1.426,1.469,0.5099,10.22,0.5099
"1166",1,2.807,1.476,1.571,0.7103,0.02259,0.7103
"1167",1,2.795,1.411,1.15,0.6151,0.001273,0.6151
"1168",1,2.816,1.603,1.354,0.6056,53.9,0.6056
"1169",1,2.761,1.107,0.8037,0.1943,3.859,0.1943
"1170",1,2.783,1.561,0.8455,0.4231,0.4256,0.4231
"1171",1,2.799,1.319,1.196,0.5822,1.018,0.5822
"1172",1,2.793,0.9695,0.9377,0.318,0.315,0.318
"1173",1,2.807,2.059,0.9322,0.3358,0.4031,0.3358
"1174",1,2.789,0.5617,0.7764,0.39,1.336,0.39
"1175",1,2.792,1.409,0.8422,0.8345,0.8249,0.8345
"1176",1,2.816,1.708,0.7815,1.019,0.2216,1.019
"1177",1,2.793,1.66,1.27,0.842,1.57,0.842
"1178",1,2.805,1.392,0.8372,0.9367,0.08495,0.9367
"1179",1,2.799,1.528,0.6179,0.4783,2.897,0.4783
"1180",1,2.817,1.519,0.6146,2.582,0.2568,2.582
"1181",1,2.819,1.448,0.6524,11.23,0.1696,11.23
"1182",1,2.793,1.256,1.738,0.03267,2.704,0.03267
"1183",1,2.8,1.858,0.97,0.1305,3.306,0.1305
"1184",1,2.782,0.9725,1.829,1.547,0.4657,1.547
"1185",1,2.77,1.022,1.129,1.617,4.897,1.617
"1186",1,2.791,0.9852,0.5122,0.8998,6.474,0.8998
"1187",1,2.774,0.6413,0.4561,0.2504,2.885,0.2504
"1188",1,2.757,0.8809,0.4971,1.118,0.8597,1.118
"1189",1,2.754,1.115,0.2777,1.205,0.8323,1.205
"1190",1,2.762,0.9052,1.544,1.85,0.9012,1.85
"1191",1,2.797,1.125,0.3521,0.5808,0.6126,0.5808
"1192",1,2.758,1.008,0.7979,0.5183,0.3231,0.5183
"1193",1,2.769,1.065,0.9471,0.4908,0.4575,0.4908
"1194",1,2.759,1.051,0.5564,0.5429,0.2553,0.5429
"1195",1,2.757,1.224,0.4063,0.5269,0.6938,0.5269
"1196",1,2.763,1.174,0.2995,0.6691,4.425,0.6691
"1197",1,2.766,1.249,0.5373,0.6677,2.11,0.6677
"1198",1,2.775,1.423,0.3662,0.5789,1.883,0.5789
"1199",1,2.754,1.817,0.5199,0.5256,1.166,0.5256
"1200",1,2.789,1.32,0.6957,0.5313,1.944,0.5313
"1201",1,2.768,1.417,0.7327,0.4462,0.5705,0.4462
"1202",1,2.771,1.226,0.5904,0.6191,1.994,0.6191
"1203",1,2.802,1.032,0.8142,0.5792,8.149,0.5792
"1204",1,2.787,1.3,1.205,0.4084,0.5894,0.4084
"1205",1,2.846,1.389,1.038,0.41,1.256,0.41
"1206",1,2.85,1.755,1.312,0.4502,0.155,0.4502
"1207",1,2.795,1.479,1.017,0.4357,4.74,0.4357
"1208",1,2.747,1.476,0.9421,0.4171,0.008916,0.4171
"1209",1,2.776,1.447,0.5473,0.3903,4.125,0.3903
"1210",1,2.785,1.441,0.6293,0.3479,45.09,0.3479
"1211",1,2.798,1.341,0.8485,0.3518,0.4512,0.3518
"1212",1,2.794,1.279,0.6029,0.3839,0.4765,0.3839
"1213",1,2.691,1.507,0.6336,0.3956,1.353,0.3956
"1214",1,2.889,1.309,0.9584,0.5461,0.3303,0.5461
"1215",1,2.747,1.268,2.696,0.4008,0.2857,0.4008
"1216",1,2.764,1.182,0.5744,0.496,0.09216,0.496
"1217",1,2.837,1.288,1.416,0.2903,3.515,0.2903
"1218",1,2.704,1.192,0.214,0.5888,2.484,0.5888
"1219",1,2.958,1.151,0.2446,0.9381,0.149,0.9381
"1220",1,2.971,1.186,0.8387,0.5229,0.3838,0.5229
"1221",1,2.832,1.151,0.5481,0.614,4.781,0.614
"1222",1,2.641,1.175,0.5051,0.4448,54.08,0.4448
"1223",1,2.699,1.214,0.5616,0.5065,0.5432,0.5065
"1224",1,2.282,1.295,0.539,0.4389,9.101,0.4389
"1225",1,2.612,1.426,0.1573,0.5547,0.2522,0.5547
"1226",1,2.524,1.084,0.1207,0.544,12.1,0.544
"1227",1,3.867,1.247,0.2742,0.5239,0.4203,0.5239
"1228",1,2.608,1.248,0.1449,0.569,4.645,0.569
"1229",1,3.008,1.272,0.2097,0.7382,1.074,0.7382
"1230",1,3.246,1.282,0.7041,0.5394,4.303,0.5394
"1231",1,3.034,1.237,0.6586,0.6332,0.6699,0.6332
"1232",1,3.329,1.227,0.4687,0.6339,0.2041,0.6339
"1233",1,3.424,1.243,0.7133,0.562,1.587,0.562
"1234",1,4.217,1.218,0.4223,0.6414,1.877,0.6414
"1235",1,4.55,1.236,0.4873,0.5848,0.6838,0.5848
"1236",1,3.71,1.239,1.257,0.5331,0.0163,0.5331
"1237",1,3.787,1.254,0.8991,0.4478,1.628,0.4478
"1238",1,3.537,1.254,0.9446,0.5794,94.12,0.5794
"1239",1,4.165,1.237,0.9244,0.6388,2.899,0.6388
"1240",1,3.721,1.228,1.03,0.5761,0.1916,0.5761
"1241",1,4.535,1.265,1.326,0.4872,0.1485,0.4872
"1242",1,4.345,1.272,1.18,0.4662,0.7112,0.4662
"1243",1,3.275,1.276,1.131,0.6232,4.996,0.6232
"1244",1,7.271,1.214,1.198,0.4907,0.7485,0.4907
